规则ID,规则说明
id,desc
number,number
1,10340001
101,10340002
102,10340003
103,10340004
201,10340005
202,10340006
203,10340007
205,10340008
301,10340009
302,10340010
303,10340011
401,10340012
402,10340013
403,10340014
404,10340038
405,10340039
406,10340037
1001,10340015
1002,10340016
1003,10340017
1004,10340018
1005,10340019
1006,10340020
110,10340021
104,10340022
204,10340023
501,10340024
601,10340025
701,10340026
6001,10340027
6002,10340028
6003,10340029
6004,10340040
6005,10340041
6006,10340042
6007,10340043
6008,10340044
801,10340045
802,10340046
803,10340047
901,10340030
2001,10340031
1009,10340032
3001,10340032
1101,10340034
4001,10340035
5001,10340036
